AdvNum,Parcel,Face Amount,Certificate Number,WinningBid,Bidder ID,Primary Name On Account
006113,301653580,2326.56,0,016.00,00000000,STRUCK TO COUNTY
006114,301653590,2326.56,0,016.00,00000000,STRUCK TO COUNTY
006115,301653600,2326.56,0,016.00,00000000,STRUCK TO COUNTY
006116,301653610,2326.56,0,016.00,00000000,STRUCK TO COUNTY
006117,301653620,2326.56,0,016.00,00000000,STRUCK TO COUNTY
006118,301653630,5991.72,0,016.00,00000000,STRUCK TO COUNTY
006119,301653640,5991.72,0,016.00,00000000,STRUCK TO COUNTY
006120,301653650,5991.72,0,016.00,00000000,STRUCK TO COUNTY
006121,301653660,5991.72,0,016.00,00000000,STRUCK TO COUNTY
006122,301653670,5991.72,0,016.00,00000000,STRUCK TO COUNTY
006123,301653680,6220.88,0,016.00,00000000,STRUCK TO COUNTY
006124,301653690,6220.88,0,016.00,00000000,STRUCK TO COUNTY
006125,301653700,6220.88,0,016.00,00000000,STRUCK TO COUNTY
006126,30165383A,6804.19,0,016.00,00000000,STRUCK TO COUNTY
006127,301654060,2501.9,0,016.00,00000000,STRUCK TO COUNTY
006128,301654070,2501.9,0,016.00,00000000,STRUCK TO COUNTY
006129,301654080,2501.9,0,016.00,00000000,STRUCK TO COUNTY
006130,301654090,2501.9,0,016.00,00000000,STRUCK TO COUNTY
006131,301654100,2501.9,0,016.00,00000000,STRUCK TO COUNTY
